NUTS_ID,LEVL_CODE,CNTR_CODE,NAME_LATN,NUTS_NAME,MOUNT_TYPE,URBN_TYPE,COAST_TYPE,NAME_ENGL,NAME_FREN,ISO3_CODE,SVRG_UN,CAPT,EU_STAT,EFTA_STAT,CC_STAT,NAME_GERM,geo,geo_level,TIME_PERIOD,unit,gdp_pc_index,obs_flag,conf_status,is_eu,sample_group,log_gdp_pc_index,gdp_map_class
AT11,2,AT,Burgenland,Burgenland,,,,Austria,Autriche,AUT,UN Member State,Vienna,T,F,F,Österreich,AT11,NUTS 2,2023,PPS_HAB_EU27_2020,87,,,True,EU27,4.465908118654584,75-99
AT12,2,AT,Niederösterreich,Niederösterreich,,,,Austria,Autriche,AUT,UN Member State,Vienna,T,F,F,Österreich,AT12,NUTS 2,2023,PPS_HAB_EU27_2020,100,,,True,EU27,4.605170185988092,100-124
AT13,2,AT,Wien,Wien,,,,Austria,Autriche,AUT,UN Member State,Vienna,T,F,F,Österreich,AT13,NUTS 2,2023,PPS_HAB_EU27_2020,139,,,True,EU27,4.9344739331306915,125-149
AT21,2,AT,Kärnten,Kärnten,,,,Austria,Autriche,AUT,UN Member State,Vienna,T,F,F,Österreich,AT21,NUTS 2,2023,PPS_HAB_EU27_2020,115,,,True,EU27,4.74493212836325,100-124
AT22,2,AT,Steiermark,Steiermark,,,,Austria,Autriche,AUT,UN Member State,Vienna,T,F,F,Österreich,AT22,NUTS 2,2023,PPS_HAB_EU27_2020,111,,,True,EU27,4.709530201312334,100-124
AT31,2,AT,Oberösterreich,Oberösterreich,,,,Austria,Autriche,AUT,UN Member State,Vienna,T,F,F,Österreich,AT31,NUTS 2,2023,PPS_HAB_EU27_2020,123,,,True,EU27,4.812184355372417,100-124
AT32,2,AT,Salzburg,Salzburg,,,,Austria,Autriche,AUT,UN Member State,Vienna,T,F,F,Österreich,AT32,NUTS 2,2023,PPS_HAB_EU27_2020,147,,,True,EU27,4.990432586778736,125-149
AT33,2,AT,Tirol,Tirol,,,,Austria,Autriche,AUT,UN Member State,Vienna,T,F,F,Österreich,AT33,NUTS 2,2023,PPS_HAB_EU27_2020,128,,,True,EU27,4.852030263919617,125-149
AT34,2,AT,Vorarlberg,Vorarlberg,,,,Austria,Autriche,AUT,UN Member State,Vienna,T,F,F,Österreich,AT34,NUTS 2,2023,PPS_HAB_EU27_2020,126,,,True,EU27,4.836281906951478,125-149
BE10,2,BE,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,,,,Belgium,Belgique,BEL,UN Member State,Brussels,T,F,F,Belgien,BE10,NUTS 2,2023,PPS_HAB_EU27_2020,190,,,True,EU27,5.247024072160486,150+
BE21,2,BE,Prov. Antwerpen,Prov. Antwerpen,,,,Belgium,Belgique,BEL,UN Member State,Brussels,T,F,F,Belgien,BE21,NUTS 2,2023,PPS_HAB_EU27_2020,140,,,True,EU27,4.941642422609304,125-149
BE22,2,BE,Prov. Limburg (BE),Prov. Limburg (BE),,,,Belgium,Belgique,BEL,UN Member State,Brussels,T,F,F,Belgien,BE22,NUTS 2,2023,PPS_HAB_EU27_2020,96,,,True,EU27,4.564348191467836,75-99
BE23,2,BE,Prov. Oost-Vlaanderen,Prov. Oost-Vlaanderen,,,,Belgium,Belgique,BEL,UN Member State,Brussels,T,F,F,Belgien,BE23,NUTS 2,2023,PPS_HAB_EU27_2020,111,,,True,EU27,4.709530201312334,100-124
