origin,neighbor,centroid_distance_km
AT11,AT12,98.86331643593995
AT11,AT13,74.38451163148291
AT11,AT22,117.80208811440363
AT11,HU21,126.57689324759028
AT11,HU22,53.619211763056
AT11,SK01,99.88091229334559
AT12,AT13,46.74254828057518
AT12,AT22,124.97157541209967
AT12,AT31,133.86876361766122
AT12,CZ06,112.46677543301479
AT12,SK01,104.97490136942773
AT13,CZ06,116.73180189881694
AT13,HU22,122.53827812148968
AT13,SK01,60.2391248969563
AT13,SK02,127.14467977487303
AT21,AT22,98.86110507649472
AT21,AT32,94.61159583631762
AT21,ITH4,94.83533813094806
AT21,SI03,122.75818312050617
AT21,SI04,80.30408800987495
AT22,AT31,123.9040778041027
AT22,SI03,125.2608195897576
AT22,SI04,149.8764627943761
AT31,AT32,105.90452203854674
AT31,CZ03,130.52975258103115
AT31,DE22,108.11668455540413
AT32,AT33,121.87369432032227
AT32,DE21,126.9046391313925
AT32,DE22,146.5696592164575
AT32,ITH4,136.41556430187114
AT33,AT34,121.88733323204636
AT33,DE21,102.21644931534942
AT33,DE27,130.71050677433308
AT33,ITH1,56.16979220160634
AT33,ITH2,121.86571418716854
AT34,DE13,152.7643685520478
AT34,DE14,103.42143719050719
AT34,DE27,114.04317747215241
AT34,ITH1,130.23006269359306
BE10,BE21,49.947321772545884
BE10,BE23,46.32060511137367
BE10,BE24,14.741438059577922
BE10,BE25,95.60574172602331
BE10,BE31,22.967963356122073
BE10,BE32,50.68779212238606
BE10,FRE1,124.34144960306698
BE10,NL34,77.85641376760837
BE21,BE22,56.19569843939045
BE21,BE24,40.43667347117079
BE21,BE31,63.47171387248152
BE21,NL34,62.03474227670304
BE21,NL36,80.64783515369923
BE21,NL41,48.79773975685216
BE22,BE24,60.34226174522803
BE22,BE33,56.84037843557357
BE22,DEA1,95.79073565517288
BE22,NL41,65.6106133021339
BE22,NL42,43.15065874978209
BE23,BE24,57.230931681715184
BE23,BE25,53.0682201528662
BE23,BE32,64.27515521169337
BE23,FRE1,99.20309245699937
BE23,NL34,48.836115410414706
BE24,BE31,23.38811348245013
BE24,BE32,63.35547694436805
BE24,BE35,72.6565951739831
BE25,BE32,88.00834277015207
BE25,FRE1,64.33446745072209
BE25,FRE2,153.07014737546476
BE25,NL34,79.246780371144
BE31,BE32,48.83685230889961
BE31,BE34,104.22666398894992
BE31,BE35,50.7099299450814
BE32,BE35,67.97662484902014
BE32,FRE1,87.95248832757042
BE32,FRE2,123.51757343543812
BE33,BE34,64.70354689017908
BE33,BE35,69.36485208758249
BE33,DEA2,82.47435657965597
BE33,DEB2,90.27403100020429
BE33,LU00,86.57745154150427
BE33,NL42,77.99465229780279
BE34,BE35,57.844421053893335
BE34,DEB2,83.18858360867611
BE34,FRF2,153.3903199027501
BE34,LU00,46.34986805180548
BE35,LU00,103.79024656051932
BG31,BG32,178.62497638011016
BG31,BG41,130.82704699583203
BG31,BG42,189.2942020925273
BG31,RO41,131.36465458463113
BG31,RS22,157.12085294415417
BG32,BG33,103.25851665555292
BG32,BG34,117.58605404615034
BG32,RO22,233.05894221354217
BG32,RO31,127.2668015277572
BG32,RO32,115.66759115374369
BG33,BG34,119.84420341405357
BG33,RO22,198.89439918973062
BG33,RO31,178.17068423241247
BG33,RO32,157.00693486408923
BG34,BG42,140.47848447320547
BG34,EL51,189.19385257958373
BG34,TR10,233.28422147134938
BG34,TR21,134.4530804881249
BG41,BG42,145.2376984685172
BG41,EL51,195.05222895040217
BG41,EL52,177.39581249066953
BG41,MK00,158.38161978055123
BG41,RS22,179.5942173889733
BG42,EL51,86.5338414295772
BG42,TR21,188.30626506972402
CZ01,CZ02,9.637494734511405
CZ01,CZ03,92.93154582976781
CZ01,CZ04,83.18874520010696
