origin,neighbor
AT11,AT12
AT11,AT22
AT11,HU22
AT11,SI03
AT11,SK01
AT12,AT13
AT12,AT22
AT12,AT31
AT12,CZ03
AT12,CZ06
AT12,SK01
AT12,SK02
AT21,AT22
AT21,AT32
AT21,AT33
AT21,ITH3
AT21,ITH4
AT21,SI03
AT21,SI04
AT22,AT31
AT22,AT32
AT22,SI03
AT31,AT32
AT31,CZ03
AT31,DE21
AT31,DE22
AT32,AT33
AT32,DE21
AT32,ITH1
AT33,AT34
AT33,DE21
AT33,DE27
AT33,ITH1
AT33,ITH3
AT34,DE27
BE10,BE24
BE21,BE22
BE21,BE23
BE21,BE24
BE21,NL34
BE21,NL41
BE22,BE24
BE22,BE33
BE22,NL41
BE22,NL42
BE23,BE24
BE23,BE25
BE23,BE32
BE23,NL34
BE24,BE31
BE24,BE32
BE24,BE33
BE25,BE32
BE25,FRE1
BE25,NL34
BE31,BE32
BE31,BE33
BE31,BE35
BE32,BE35
BE32,FRE1
BE32,FRE2
BE32,FRF2
BE33,BE34
BE33,BE35
BE33,DEA2
BE33,DEB2
BE33,LU00
BE33,NL42
BE34,BE35
BE34,FRF2
BE34,FRF3
BE34,LU00
BE35,FRF2
BG31,BG32
BG31,BG34
BG31,BG41
BG31,BG42
BG31,RO31
BG31,RO41
BG31,RS22
BG32,BG33
BG32,BG34
BG32,RO22
BG32,RO31
BG33,BG34
BG33,RO22
BG34,BG42
BG34,TR21
BG41,BG42
BG41,EL51
BG41,EL52
BG41,MK00
BG41,RS22
BG42,EL51
BG42,TR21
CZ01,CZ02
CZ02,CZ03
CZ02,CZ04
CZ02,CZ05
CZ02,CZ06
CZ03,CZ04
CZ03,CZ06
CZ03,DE22
CZ03,DE23
CZ04,CZ05
CZ04,DE23
CZ04,DE24
CZ04,DED2
CZ04,DED4
CZ05,CZ06
CZ05,CZ07
CZ05,DED2
CZ05,PL51
CZ06,CZ07
CZ06,SK02
CZ07,CZ08
CZ07,PL51
CZ07,PL52
CZ07,SK02
CZ07,SK03
CZ08,PL22
CZ08,PL52
CZ08,SK03
DE11,DE12
DE11,DE14
DE11,DE25
DE11,DE26
DE11,DE27
DE12,DE13
DE12,DE14
DE12,DE26
DE12,DE71
DE12,DEB3
DE12,FRF1
DE13,DE14
DE13,FRF1
DE14,DE27
DE21,DE22
DE21,DE23
DE21,DE25
DE21,DE27
DE22,DE23
DE23,DE24
DE23,DE25
DE24,DE25
DE24,DE26
DE24,DED4
DE24,DEG0
DE25,DE26
DE25,DE27
DE26,DE71
DE26,DE73
DE26,DEG0
DE30,DE40
DE40,DE80
DE40,DE93
DE40,DED2
DE40,DED5
DE40,DEE0
DE40,PL42
DE40,PL43
DE50,DE92
DE50,DE93
DE50,DE94
DE60,DE93
DE60,DEF0
DE71,DE72
DE71,DE73
DE71,DEB1
DE71,DEB3
DE72,DE73
DE72,DEA5
DE72,DEB1
DE73,DE91
DE73,DEA4
DE73,DEA5
DE73,DEG0
DE80,DE93
DE80,DEF0
DE80,PL42
DE91,DE92
