NUTS_ID,CNTR_CODE,NAME_LATN,NAME_ENGL,EU_STAT,CC_STAT,is_eu,sample_group,TIME_PERIOD,unit,gdp_pc_index,log_gdp_pc_index,obs_flag,conf_status,gdp_map_class,queen_degree,is_queen_island,z_log_gdp,spatial_lag,local_moran_i,local_perm_mean,local_p_two_sided,local_q_bh,local_p_holm,lisa_quadrant,lisa_fdr_cluster,lisa_holm_cluster
AT11,AT,Burgenland,Austria,T,F,True,EU27,2023,PPS_HAB_EU27_2020,87,4.465908118654584,,,75-99,5,False,0.08378227798716627,0.3313941602456419,0.027764957657023893,-0.00020480552604173588,0.45096,0.6970508982035928,1.0,High-High,Not significant,Not significant
AT12,AT,Niederösterreich,Austria,T,F,True,EU27,2023,PPS_HAB_EU27_2020,100,4.605170185988092,,,100-124,8,False,0.4302806542351603,0.46715998349779253,0.20100990333191687,-0.0013729707428917297,0.17803,0.3873190677966102,1.0,High-High,Not significant,Not significant
AT13,AT,Wien,Austria,T,F,True,EU27,2023,PPS_HAB_EU27_2020,139,4.9344739331306915,,,125-149,1,False,1.2496223160534767,0.4302806542351603,0.5376883076983463,-0.006752316842304333,0.67444,0.8268375,1.0,High-High,Not significant,Not significant
AT21,AT,Kärnten,Austria,T,F,True,EU27,2023,PPS_HAB_EU27_2020,115,4.74493212836325,,,100-124,7,False,0.778022771105243,0.6613945910718789,0.5145800525397622,-0.0038947883893152026,0.07428,0.23676749999999996,1.0,High-High,Not significant,Not significant
AT22,AT,Steiermark,Austria,T,F,True,EU27,2023,PPS_HAB_EU27_2020,111,4.709530201312334,,,100-124,6,False,0.6899391279849968,0.5455900076909533,0.37642389414362404,-0.0031675910971819573,0.1752,0.3873190677966102,1.0,High-High,Not significant,Not significant
AT31,AT,Oberösterreich,Austria,T,F,True,EU27,2023,PPS_HAB_EU27_2020,123,4.812184355372417,,,100-124,6,False,0.945353243098968,0.8161700007125582,0.7715689570937039,-0.005226784163604078,0.0417,0.16770234375,1.0,High-High,Not significant,Not significant
AT32,AT,Salzburg,Austria,T,F,True,EU27,2023,PPS_HAB_EU27_2020,147,4.990432586778736,,,125-149,6,False,1.3888532135787641,1.1595846826862344,1.6104929129654881,-0.00989991816961166,0.0037,0.047175,0.8732000000000001,High-High,High-High,Not significant
AT33,AT,Tirol,Austria,T,F,True,EU27,2023,PPS_HAB_EU27_2020,128,4.852030263919617,,,125-149,7,False,1.0444939701906215,1.1502231015937103,1.201401093988585,-0.006495027918668676,0.00182,0.029484375,0.43862,High-High,High-High,Not significant
AT34,AT,Vorarlberg,Austria,T,F,True,EU27,2023,PPS_HAB_EU27_2020,126,4.836281906951478,,,125-149,3,False,1.0053104349859783,0.9074160033686153,0.9122347770597405,-0.006266504014005612,0.1114,0.290225,1.0,High-High,Not significant,Not significant
BE10,BE,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,Belgium,T,F,True,EU27,2023,PPS_HAB_EU27_2020,190,5.247024072160486,,,150+,1,False,2.027279274215341,1.0638567376587238,2.156734714989878,-0.01830827064501716,0.28668,0.5259237410071942,1.0,High-High,Not significant,Not significant
BE21,BE,Prov. Antwerpen,Belgium,T,F,True,EU27,2023,PPS_HAB_EU27_2020,140,4.941642422609304,,,125-149,5,False,1.2674582566800192,0.7943466206722875,1.0068011830369619,-0.00857356052724882,0.07104,0.23224615384615385,1.0,High-High,Not significant,Not significant
BE22,BE,Prov. Limburg (BE),Belgium,T,F,True,EU27,2023,PPS_HAB_EU27_2020,96,4.564348191467836,,,75-99,5,False,0.32871132464450503,0.8473537452698543,0.27853477205013627,-0.0011230884976812295,0.0565,0.20880434782608698,1.0,High-High,Not significant,Not significant
BE23,BE,Prov. Oost-Vlaanderen,Belgium,T,F,True,EU27,2023,PPS_HAB_EU27_2020,111,4.709530201312334,,,100-124,5,False,0.6899391279849968,0.7039184374254306,0.4856608728898631,-0.003255527123638711,0.11092,0.290225,1.0,High-High,Not significant,Not significant
BE24,BE,Prov. Vlaams-Brabant,Belgium,T,F,True,EU27,2023,PPS_HAB_EU27_2020,129,4.859812404361672,,,125-149,7,False,1.0638567376587238,0.7969285368157233,0.8478177933239155,-0.006792171879798923,0.03184,0.1542990566037736,1.0,High-High,Not significant,Not significant
BE25,BE,Prov. West-Vlaanderen,Belgium,T,F,True,EU27,2023,PPS_HAB_EU27_2020,119,4.77912349311153,,,100-124,4,False,0.8630944104527305,0.2068012738817471,0.17848902356184015,-0.004980429086582807,0.6673,0.8220362318840579,1.0,High-High,Not significant,Not significant
BE31,BE,Prov. Brabant wallon,Belgium,T,F,True,EU27,2023,PPS_HAB_EU27_2020,158,5.062595033026967,,,150+,4,False,1.5684008170996464,0.1589110488841771,0.2492362189161052,-0.013147278280571472,0.73395,0.8786725352112676,1.0,High-High,Not significant,Not significant
BE32,BE,Prov. Hainaut,Belgium,T,F,True,EU27,2023,PPS_HAB_EU27_2020,72,4.276666119016055,,,50-74,8,False,-0.3870713209016114,0.4617354298734605,-0.17872454274819372,-2.487074877293971e-05,0.18677,0.4002214285714285,1.0,Low-High,Not significant,Not significant
BE33,BE,Prov. Liège,Belgium,T,F,True,EU27,2023,PPS_HAB_EU27_2020,87,4.465908118654584,,,75-99,9,False,0.08378227798716627,0.7633514200744855,0.06395532087857868,-0.00016245692265665255,0.01897,0.1148093023255814,1.0,High-High,Not significant,Not significant
BE34,BE,Prov. Luxembourg (BE),Belgium,T,F,True,EU27,2023,PPS_HAB_EU27_2020,73,4.290459441148391,,,50-74,5,False,-0.35275211385958116,0.4873121467083036,-0.17190038986080441,0.0001978981091906788,0.27115,0.5186999999999999,1.0,Low-High,Not significant,Not significant
BE35,BE,Prov. Namur,Belgium,T,F,True,EU27,2023,PPS_HAB_EU27_2020,80,4.382026634673881,,,75-99,5,False,-0.12492349920757029,0.21053843388565396,-0.026301197878677584,0.00018764258709926606,0.63397,0.8042902985074627,1.0,Low-High,Not significant,Not significant
BG31,BG,Severozapaden,Bulgaria,T,F,True,EU27,2023,PPS_HAB_EU27_2020,42,3.7376696182833684,,,<50,7,False,-1.7281501651497446,-1.181812860830991,2.042350090621169,-0.008122404179444194,0.00135,0.02648076923076923,0.32805,Low-Low,Low-Low,Not significant
