STRUCTURE,STRUCTURE_ID,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,AT,2023,121,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,AT1,2023,118,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,AT11,2023,87,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,AT12,2023,100,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,AT13,2023,139,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,AT2,2023,113,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,AT21,2023,115,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,AT22,2023,111,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,AT3,2023,129,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,AT31,2023,123,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,AT32,2023,147,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,AT33,2023,128,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,AT34,2023,126,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,BE,2023,118,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,BE1,2023,190,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,BE10,2023,190,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,BE2,2023,122,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,BE21,2023,140,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,BE22,2023,96,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,BE23,2023,111,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,BE24,2023,129,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,BE25,2023,119,,
