CNTR_CODE,NAME_ENGL,sample_group,regions,mean_index,median_index,minimum_index,maximum_index,provisional,estimated
LU,Luxembourg,EU27,1,248.0,248.0,248,248,0,0
IE,Ireland,EU27,3,194.66666666666666,229.0,104,251,0,0
NL,Netherlands,EU27,12,120.41666666666667,112.0,93,172,0,0
AT,Austria,EU27,9,119.55555555555556,123.0,87,147,0,0
DK,Denmark,EU27,5,115.4,109.0,89,170,0,0
BE,Belgium,EU27,11,114.0909090909091,111.0,72,190,0,0
DE,Germany,EU27,38,113.07894736842105,109.5,82,195,38,0
MT,Malta,EU27,1,109.0,109.0,109,109,0,0
SE,Sweden,EU27,8,104.375,95.5,85,151,0,0
FI,Finland,EU27,5,103.2,94.0,88,131,0,0
LT,Lithuania,EU27,2,99.0,99.0,67,131,0,0
CY,Cyprus,EU27,1,97.0,97.0,97,97,0,0
IT,Italy,EU27,21,96.71428571428571,101.0,57,166,0,0
SI,Slovenia,EU27,2,92.5,92.5,73,112,0,0
CZ,Czechia,EU27,8,90.125,75.5,62,197,0,0
ES,Spain,EU27,19,86.47368421052632,83.0,60,125,19,0
SK,Slovakia,EU27,4,83.75,65.0,54,151,0,0
FR,France,EU27,27,81.25925925925925,83.0,29,160,27,0
HR,Croatia,EU27,4,80.75,69.5,53,131,0,0
EE,Estonia,EU27,1,80.0,80.0,80,80,0,0
PT,Portugal,EU27,9,78.33333333333333,71.0,54,127,0,0
RO,Romania,EU27,8,76.75,64.0,47,181,0,0
PL,Poland,EU27,17,71.05882352941177,63.0,53,155,0,0
HU,Hungary,EU27,8,70.375,59.5,48,164,0,0
LV,Latvia,EU27,1,70.0,70.0,70,70,0,0
EL,Greece,EU27,13,56.84615384615385,55.0,42,96,13,0
TR,Türkiye,candidate country,26,55.80769230769231,51.5,26,108,0,0
BG,Bulgaria,EU27,6,55.166666666666664,46.5,41,101,0,0
ME,Montenegro,candidate country,1,52.0,52.0,52,52,0,0
RS,Serbia,candidate country,4,48.25,40.5,30,82,4,0
MK,North Macedonia,candidate country,1,41.0,41.0,41,41,0,1
